"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote",
"HEAR","Turtle Beach Corporation","12.1","$172.75M","n/a","Capital Goods","Telecommunications Equipment","https://www.nasdaq.com/symbol/hear",
"THCB","Tuscan Holdings Corp.","9.75","$346M","2019","Finance","Business Services","https://www.nasdaq.com/symbol/thcb",
"THCBU","Tuscan Holdings Corp.","10.4395","n/a","2019","Finance","Business Services","https://www.nasdaq.com/symbol/thcbu",
"THCBW","Tuscan Holdings Corp.","0.68","n/a","2019","Finance","Business Services","https://www.nasdaq.com/symbol/thcbw",
"TWLV","Twelve Seas Investment Company","10.02","$268.33M","2018","Finance","Business Services","https://www.nasdaq.com/symbol/twlv",
"TWLVR","Twelve Seas Investment Company","0.27","n/a","2018","Finance","Business Services","https://www.nasdaq.com/symbol/twlvr",
"TWLVU","Twelve Seas Investment Company","10.5","n/a","2018","Finance","Business Services","https://www.nasdaq.com/symbol/twlvu",
"TWLVW","Twelve Seas Investment Company","0.26","n/a","2018","Finance","Business Services","https://www.nasdaq.com/symbol/twlvw",
"TWIN","Twin Disc, Incorporated","17.01","$222.82M","n/a","Technology","Industrial Machinery/Components","https://www.nasdaq.com/symbol/twin",
"TWST","Twist Bioscience Corporation","24.2","$678.03M","2018","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://www.nasdaq.com/symbol/twst",
"TRCB","Two River Bancorp","15.88","$137.61M","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/trcb",
"TYME","Tyme Technologies, Inc.","1.89","$196.17M","n/a","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/tyme",
"USCR","U S Concrete, Inc.","43.18","$717.62M","n/a","Capital Goods","Building Materials","https://www.nasdaq.com/symbol/uscr",
"PRTS","U.S. Auto Parts Network, Inc.","1.03","$36.47M","2007","Consumer Services","Other Specialty Stores","https://www.nasdaq.com/symbol/prts",
"USEG","U.S. Energy Corp.","0.75","$10.09M","n/a","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/useg",
"GROW","U.S. Global Investors, Inc.","1.1499","$17.41M","n/a","Finance","Investment Managers","https://www.nasdaq.com/symbol/grow",
"USAU","U.S. Gold Corp.","0.9242","$17.85M","n/a","n/a","n/a","https://www.nasdaq.com/symbol/usau",
"USWS","U.S. Well Services, Inc.","8.1","$410.4M","2017","Energy","Oilfield Services/Equipment","https://www.nasdaq.com/symbol/usws",
"USWSW","U.S. Well Services, Inc.","1.05","n/a","2017","Energy","Oilfield Services/Equipment","https://www.nasdaq.com/symbol/uswsw",
"UBNT","Ubiquiti Networks, Inc.","154.63","$10.9B","2011","Technology","Radio And Television Broadcasting And Communications Equipment","https://www.nasdaq.com/symbol/ubnt",
"UFPT","UFP Technologies, Inc.","37.4","$277.1M","1993","Capital Goods","Containers/Packaging","https://www.nasdaq.com/symbol/ufpt",
"ULTA","Ulta Beauty, Inc.","352.55","$20.91B","2007","Consumer Services","Other Specialty Stores","https://www.nasdaq.com/symbol/ulta",
"UCTT","Ultra Clean Holdings, Inc.","10.77","$421.22M","2004","Technology","Semiconductors","https://www.nasdaq.com/symbol/uctt",
"UPL","Ultra Petroleum Corp.","0.6064","$119.69M","n/a","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/upl",
"RARE","Ultragenyx Pharmaceutical Inc.","70","$3.59B","2014","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/rare",
